host,sigma,z_hd,is_anchor,mu_full,mu_full_err,h0_host,h0_global,n_ceph_rows,n_sn_rows,mean_period_term,median_period_term,mean_period_contrib,mean_Z_term,median_Z_term,mean_Z_contrib,frac_logP_gt_1.5,mean_PL_residual,std_PL_residual
N5861,106.20418271445524,0.00677,False,32.205206770662684,0.07563445755226456,73.51365528047009,73.04342157542929,41,3,0.6182101219512195,0.606776,-2.0391747565842366,0.05695632341463415,0.0769704,-0.012333646679744844,0.0,-0.01932500584553054,0.5003720748710785
N5917,52.64017958361095,0.0071,False,32.336895415494844,0.0769424972155628,72.56045018586252,73.04342157542929,14,3,0.5651572142857142,0.563898,-1.8641789966742601,-0.30345285714285714,-0.30006,0.06571141006965796,0.0,-0.05062258580396722,0.5372296446251679
N7250,50.4111892361293,0.00432,False,31.605972319327673,0.10331342528675323,61.817293375021805,73.04342157542929,21,2,0.5135362857142858,0.459135,-1.6939066398871274,-0.2803195238095238,-0.27786,0.06070198630855914,0.0,0.05669710114669274,0.5401537376219485
N7329,116.39793698312904,0.01028,False,33.269144742815094,0.07020100718025818,68.38878199689198,73.04342157542929,31,1,0.7258794838709677,0.712671,-2.3943236567531776,0.16640389677419354,0.18786,-0.036034047598274374,0.0,0.04138341199590407,0.6448149283842709
N7541,61.802987112436774,0.00814,False,32.57968336537841,0.08435557889262173,74.38895103735518,73.04342157542929,33,2,0.6696193636363637,0.690493,-2.2087488612084174,-0.11924317454545455,-0.1376,0.025821596192371208,0.0,-0.08335280532803475,0.432456154399827
N7678,102.49610850692297,0.01061,False,33.266894473167866,0.08320427254186367,70.65732510479705,73.04342157542929,16,2,0.6151503125,0.6137805000000001,-2.0290819322008513,0.020712275,0.0261904,-0.004485153999916991,0.0,-0.005290001023681379,0.4662248214129424
N976A,212.70617385012537,0.01312,False,33.54384437006158,0.08232851525451733,76.91050517383304,73.04342157542929,33,2,0.5960851515151515,0.591653,-1.9661952313364075,0.02499949333333333,0.0305704,-0.0054135326766324866,0.0,0.30279193141003025,0.5718069468926282
U9391,72.84250306090047,0.00747,False,32.8159905371589,0.05443888604277943,61.22703058029442,73.04342157542929,33,3,0.5749075454545453,0.52505,-1.8963406007661874,-0.2211690909090909,-0.21608,0.04789321466371577,0.0,0.0074813560991069126,0.37719676105120087
N4258,101.3961443852618,0.27995,True,29.385303679614754,0.02179609448376719,11138.852134588451,73.04342157542929,443,0,0.06292335982167042,0.00125813,-0.2075535847631134,-0.10387566139954853,-0.0857996,0.02249382736663201,0.0,0.04614498742717576,0.44160144652465444
LMC,18.3626282846689,,True,18.487090215640716,0.019405910220439266,,73.04342157542929,482,0,0.0031629721307053936,-0.0619153,-0.01043310792834742,-0.4116390041493776,-0.29,0.08913865454096315,0.0,0.0029185883449518177,0.10383262464684889
M31,128.54156498170164,,True,24.371374398039805,0.06868376896148401,,73.04342157542929,55,0,0.21413271581818186,0.186843,-0.7063197659673986,-0.11185427254545455,-0.122,0.024221561268139336,0.0,0.0255998289665082,0.12841607636691746
