beta,re_scale,n,r,p,slope,delta_h0,median_sigma,sigma_ref,kappa_cep_opt,unified_h0,post_slope,post_r
0.05,0.85,29,0.46159837245457097,0.011715362554217009,0.08489932550404398,7.860052734142712,97.24306174406908,87.16507328052906,1251715.087890625,68.8872639851506,1.3498633069061065e-07,8.055385621996794e-07
0.05,0.9,29,0.461598372454571,0.01171536255421694,0.08514230809023447,7.860052734142712,96.96554553430596,87.16507328052906,1258386.23046875,68.90271792453251,-1.2957466527303924e-07,-7.708622593388566e-07
0.05,0.95,29,0.46159837245457097,0.011715362554217009,0.08537278988817602,7.860052734142712,96.70376665484795,87.16507328052906,1264721.6796875,68.91741391393364,-5.503972759872043e-08,-3.264863069095476e-07
0.05,1.0,29,0.46159837245457086,0.011715362554217009,0.08559202348055941,7.860052734142712,96.45607167932769,87.16507328052906,1270758.056640625,68.93142325502414,9.807388391441691e-08,5.801476725481706e-07
0.05,1.05,29,0.46159837245457097,0.011715362554217009,0.08580108081928858,7.860052734142712,96.22105308216106,87.16507328052906,1276525.87890625,68.94480801566976,1.6349114626348642e-07,9.645707169536243e-07
0.05,1.1,29,0.46159837245457086,0.011715362554217009,0.0860008864843314,7.860052734142712,95.99750292717836,87.16507328052906,1282049.560546875,68.95762349989239,1.2082295311503063e-07,7.11044387128255e-07
0.05,1.15,29,0.46159837245457097,0.011715362554217009,0.08619224360893855,7.860052734142712,95.784376950171,87.16507328052906,1287347.412109375,68.96992010759965,1.3531557710857228e-07,7.944208254960114e-07
0.05,1.2,29,0.461598372454571,0.01171536255421694,0.08637585433238569,7.860052734142712,95.58076635919407,87.16507328052906,1292443.84765625,68.98173554944997,-1.7041416487531264e-07,-9.981781399137876e-07
0.05,1.25,29,0.461598372454571,0.01171536255421694,0.08655233611218417,7.860052734142712,95.3858754467213,87.16507328052906,1297344.970703125,68.99311474636096,-1.701334599457034e-07,-9.94333685214762e-07
0.05,1.3,29,0.46159837245457097,0.011715362554217009,0.08672223486386145,7.860052734142712,95.19900363476324,87.16507328052906,1302069.091796875,69.00408762276504,-1.1307675968265906e-07,-6.594670974296591e-07
0.06,0.7,29,0.4571357628338257,0.012662880221775424,0.08419121705593516,3.246018289203249,97.64798609117447,87.16507328052906,1234240.72265625,68.89517055504471,1.5647607727838709e-07,9.326743625616881e-07
0.06,0.75,29,0.4571357628338258,0.012662880221775424,0.0845404550342707,3.246018289203249,97.24460069140113,87.16507328052906,1243792.724609375,68.91726408083649,-1.1972328724576923e-07,-7.104300010158524e-07
0.06,0.8,29,0.4571357628338256,0.012662880221775504,0.08486845664322665,3.246018289203249,96.86876746960519,87.16507328052906,1252783.203125,68.93808703169283,5.119298480265961e-08,3.0250852993065817e-07
0.06,0.85,29,0.4571357628338256,0.012662880221775504,0.0851777258674066,3.246018289203249,96.51704959668126,87.16507328052906,1261285.400390625,68.95777844893315,8.027660483508824e-08,4.7250843185831306e-07
0.06,0.9,29,0.4571357628338256,0.012662880221775504,0.0854703447718813,3.246018289203249,96.18661085337823,87.16507328052906,1269354.248046875,68.97645974402185,-1.3256019195401347e-07,-7.77362424730725e-07
0.06,0.95,29,0.45713576283382573,0.012662880221775424,0.08574806363551458,3.246018289203249,95.87508386220897,87.16507328052906,1277026.3671875,68.9942407125608,-6.51372809936984e-08,-3.8064143119575837e-07
0.06,1.0,29,0.4571357628338256,0.012662880221775504,0.08601236817869434,3.246018289203249,95.58047250829452,87.16507328052906,1284344.482421875,69.01120574428028,1.1907802331915981e-09,6.935398604740251e-09
0.06,1.05,29,0.4571357628338256,0.012662880221775504,0.08626453054375195,3.246018289203249,95.30107844158927,87.16507328052906,1291345.21484375,69.02742760125845,-1.6958667780111388e-07,-9.845880838494465e-07
0.06,1.1,29,0.45713576283382557,0.012662880221775504,0.08650564853016299,3.246018289203249,95.03544487283314,87.16507328052906,1298046.875,69.04297889034935,5.051177417180145e-08,2.923761581426231e-07
0.06,1.15,29,0.4571357628338256,0.012662880221775504,0.08673667619378818,3.246018289203249,94.7823130057382,87.16507328052906,1304486.083984375,69.05790800814711,-7.798715244630538e-08,-4.5010781505567157e-07
0.06,1.2,29,0.4571357628338256,0.012662880221775504,0.08695844799864001,3.246018289203249,94.54058784726217,87.16507328052906,1310675.048828125,69.07227148505477,3.290686721969334e-08,1.8939873280939575e-07
0.06,1.25,29,0.4571357628338257,0.012662880221775424,0.08717169808811052,3.246018289203249,94.30931107671374,87.16507328052906,1316638.18359375,69.08610961818157,5.4187793793852274e-08,3.110552710967996e-07
0.06,1.3,29,0.4571357628338257,0.012662880221775424,0.08737707581510878,3.246018289203249,94.0876392965244,87.16507328052906,1322393.798828125,69.09946054903165,-9.85036495885283e-08,-5.63999479039577e-07
0.07,0.7,29,0.45253145453087895,0.01370665417273297,0.0842479726861665,3.246018289203249,96.17079575775472,87.16507328052906,1238574.21875,68.95471098717775,1.0374575589810212e-07,6.113320684264118e-07
0.07,0.75,29,0.45253145453087895,0.01370665417273297,0.08465583244165012,3.246018289203249,95.70745854741594,87.16507328052906,1249761.962890625,68.98057834388752,1.105304597381149e-07,6.479236785812822e-07
0.07,0.8,29,0.4525314545308789,0.01370665417273297,0.08503914699531655,3.246018289203249,95.27605650433529,87.16507328052906,1260314.94140625,69.00497882670163,-5.630544165965864e-08,-3.2845178842598624e-07
0.07,0.85,29,0.452531454530879,0.01370665417273297,0.08540079645155133,3.246018289203249,94.87258797173745,87.16507328052906,1270300.29296875,69.0280838026562,-3.6887369879731046e-08,-2.1419302102451482e-07
0.07,0.9,29,0.45253145453087884,0.013706654172733012,0.08574317712717591,3.246018289203249,94.493752688787,87.16507328052906,1279779.052734375,69.05003235575666,1.5379665804869618e-07,8.891876487260449e-07
0.07,0.95,29,0.452531454530879,0.01370665417273297,0.08606830466818736,3.246018289203249,94.13679757539084,87.16507328052906,1288812.255859375,69.07093530973341,-9.064196173378183e-08,-5.219093086564348e-07
0.07,1.0,29,0.4525314545308789,0.01370665417273297,0.08637789100741902,3.246018289203249,93.79940259840717,87.16507328052906,1297430.419921875,69.09090225407797,5.419440427870321e-08,3.108347964253678e-07
0.07,1.05,29,0.45253145453087895,0.01370665417273297,0.08667340275630905,3.246018289203249,93.4795948531794,87.16507328052906,1305682.373046875,69.11001167060348,-1.1275115324826184e-07,-6.442982533081392e-07
0.07,1.1,29,0.45253145453087895,0.01370665417273297,0.08695610616793428,3.246018289203249,93.17568289636642,87.16507328052906,1313592.529296875,69.1283436214125,-8.774438513324452e-08,-4.996316805598977e-07
0.07,1.15,29,0.45253145453087895,0.01370665417273297,0.08722710222109091,3.246018289203249,92.8862058683312,87.16507328052906,1321191.40625,69.14596168437664,-5.795718841358895e-09,-3.289046037500987e-08
0.07,1.2,29,0.452531454530879,0.01370665417273297,0.08748735432524277,3.246018289203249,92.60989358628373,87.16507328052906,1328503.41796875,69.1629231918003,1.6078568913142368e-07,9.095020544004256e-07
0.07,1.25,29,0.452531454530879,0.01370665417273297,0.0877377104370589,3.246018289203249,92.34563489115158,87.16507328052906,1335559.08203125,69.1792734355501,-1.1520069979342464e-07,-6.496233250102208e-07
0.07,1.3,29,0.45253145453087895,0.01370665417273297,0.08797892089132439,3.246018289203249,92.09245228427413,87.16507328052906,1342364.501953125,69.19506507670194,-1.2510051709654151e-08,-7.033444449339035e-08
0.08,0.7,29,0.44778709306327497,0.014856127422962348,0.08424846828633292,3.246018289203249,94.71595193006947,87.16507328052906,1242297.36328125,69.01390891275368,-8.494014330194534e-09,-4.949147667133447e-08
0.08,0.75,29,0.44778709306327497,0.014856127422962348,0.0847147574272838,3.246018289203249,94.19461395778356,87.16507328052906,1255133.056640625,69.04355780688593,1.7032807290296077e-08,9.865351311861266e-08
0.08,0.8,29,0.44778709306327497,0.014856127422962348,0.08515327772422174,3.246018289203249,93.70953280545844,87.16507328052906,1267254.638671875,69.07155937146806,-1.665614608977129e-07,-9.593444162070428e-07
0.08,0.85,29,0.447787093063275,0.014856127422962348,0.08556727166243226,3.246018289203249,93.25614475439326,87.16507328052906,1278735.3515625,69.09810502897277,-5.7342871049144184e-08,-3.285475014491078e-07
0.08,0.9,29,0.4477870930632751,0.014856127422962348,0.0859594387670764,3.246018289203249,92.83068836701857,87.16507328052906,1289648.4375,69.12334623164017,8.916659068712185e-09,5.0835613599445685e-08
0.08,0.95,29,0.44778709306327497,0.014856127422962348,0.08633205107030711,3.246018289203249,92.4300277065326,87.16507328052906,1300048.828125,69.14741580017171,1.8359078865303682e-07,1.0417862829548864e-06
0.08,1.0,29,0.4477870930632751,0.014856127422962348,0.086687039337746,3.246018289203249,92.05152158098561,87.16507328052906,1309991.455078125,69.17042192146604,9.354001077967895e-08,5.284329894949861e-07
0.08,1.05,29,0.44778709306327497,0.014856127422962348,0.08702605852986459,3.246018289203249,91.69292516737274,87.16507328052906,1319512.939453125,69.19246436662591,7.73224443495351e-08,4.3496651111643376e-07
0.08,1.1,29,0.4477870930632749,0.01485612742296244,0.08735053823566814,3.246018289203249,91.35231486337774,87.16507328052906,1328649.90234375,69.21362643701713,1.2401899464726875e-07,6.948332164291042e-07
0.08,1.15,29,0.44778709306327497,0.014856127422962348,0.08766172204536876,3.246018289203249,91.02803009345921,87.16507328052906,1337438.96484375,69.23397828441176,-6.233016075051811e-08,-3.478640962363575e-07
0.08,1.2,29,0.44778709306327497,0.014856127422962348,0.08796069865688134,3.246018289203249,90.71862768527484,87.16507328052906,1345898.4375,69.25358917656852,1.084476532845842e-07,6.030050824363829e-07
0.08,1.25,29,0.44778709306327497,0.014856127422962348,0.08824842671917957,3.246018289203249,90.42284569880057,87.16507328052906,1354064.94140625,69.27250916854128,-9.69022634895689e-08,-5.36894341876312e-07
0.08,1.3,29,0.447787093063275,0.014856127422962348,0.08852575487041876,3.246018289203249,90.13957445571273,87.16507328052906,1361950.68359375,69.2907935233286,-8.635662080802424e-08,-4.7683081720300634e-07
