source_id,normalized_name,ra,dec,pgc,host_logmass,z_hd,z_hd_err,z_cmb,z_cmb_err,z_hel,z_hel_err,vpec,vpecerr,m_b_corr,m_b_corr_err,pantheon_id,separation_arcsec,sigma_measured,sigma_inferred,r25_arcsec,r_eff_arcsec,sigma_corrected,sigma_delta
N3254,NGC 3254,157.33300833333334,29.491438888888887,30895,10.63,0.00648,0.00084,0.0055,0.0,0.00452,0.0,-289.936,250.0,13.2078,0.317328,2019np,74.5115135659872,117.8,109.46338856575277,150.35618591308594,75.17809295654297,109.46338856575277,-8.336611434247232
N3370,NGC 3370,161.76697273869,17.27369871105,32207,10.196,0.00588,0.00084,0.0054,1e-05,0.00427,1e-05,-144.588,250.0,12.9292,0.338568,1994ae,31.314751246021032,85.0,80.45305219029427,94.86833190917967,47.43416595458984,80.45305219029427,-4.546947809705728
N3447,NGC 3447,163.34986296531,16.77242823926,32694,9.53,0.00465,0.00084,0.00465,2e-05,0.00352,2e-05,-0.2973,250.0,12.78,0.419535,2012ht,22.03175875380119,55.0,51.72330736696996,111.46057891845705,55.73028945922851,51.72330736696996,-3.276692633030038
N3583,NGC 3583,168.5457458333333,48.318377777777776,34232,10.95,0.00857,0.00084,0.00773,1e-05,0.00702,1e-05,-249.339,250.0,13.4997,0.266214,ASASSN-15so,1.3098966680831907,108.0,102.6945397409901,84.55149841308594,42.27574920654297,102.6945397409901,-5.305460259009905
N3972,NGC 3972,178.93787699999996,55.320735,37466,10.417,0.00349,0.00084,0.00369,2e-05,0.00313,2e-05,61.7743,250.0,12.5403,0.55206,2011by,18.04572886564375,78.0,73.21805713454891,116.71355438232422,58.35677719116211,73.21805713454891,-4.781942865451086
N3982,NGC 3982,179.11726896503,55.12523877407,37520,10.199,0.00349,0.00084,0.00369,1e-05,0.00313,1e-05,61.7743,250.0,12.2437,0.544824,1998aq,22.78719524707538,87.3,83.62532965097546,70.32686614990234,35.16343307495117,83.62532965097546,-3.674670349024538
N4038,NGC 4038,180.47084166666667,-18.86758888888889,37967,10.682,0.00571,0.00084,0.0066,2e-05,0.00542,2e-05,265.999,250.0,12.4269,0.374942,2007sr,378.7708452742237,107.0,99.24471174407964,157.4422607421875,78.72113037109375,99.24471174407964,-7.755288255920362
N4258,NGC 4258,184.7400833333333,47.30371944444444,39600,9.2773,0.27995,0.00146,0.27987,0.001,0.279,0.001,-18.8469,250.0,21.3134,0.150935,040201,855.3079521736327,115.0,101.39614438526179,558.6260986328125,279.31304931640625,101.39614438526179,-13.603855614738208
N4424,NGC 4424,186.79822551483997,9.420647348250002,40809,9.633,0.00256,0.00084,0.00256,2e-05,0.00144,2e-05,0.0,250.0,11.4703,0.781906,2012cg,17.00238784698351,65.0,61.18387212816052,108.92340087890624,54.461700439453125,61.18387212816052,-3.816127871839477
N4536,NGC 4536,188.6130369583333,2.1878799999999994,41823,9.686,0.00317,0.00084,0.0035,1e-05,0.00236,1e-05,97.8762,250.0,11.5416,0.613941,1981B,55.9105778163047,103.7,94.77686864711379,227.57327270507812,113.78663635253906,94.77686864711379,-8.923131352886216
N4639,NGC 4639,190.71824375014,13.257418376,42741,9.802,0.00359,0.00084,0.00462,2e-05,0.00355,2e-05,308.577,250.0,12.4439,0.550332,1990N,62.30683330267207,96.2,96.40480287112231,22.757328033447266,11.378664016723633,96.40480287112231,0.2048028711223111
N4680,NGC 4680,191.7281208333333,-11.637038888888888,43118,9.75,0.00864,0.00085,0.00931,0.00015,0.00817,0.00015,201.132,250.0,13.1668,0.42436,1997bp,24.446560387977243,103.0,100.59139374396905,43.363189697265625,21.681594848632812,100.59139374396905,-2.40860625603095
N5468,NGC 5468,211.6453774379183,-5.4529774527145,50323,10.441,0.00954,0.00086,0.00998,0.00019,0.00907,0.00019,129.581,250.0,13.7869,0.267622,1999cp,59.292776401821115,68.0,64.83843341735236,78.90803527832031,39.45401763916016,64.83843341735236,-3.1615665826476373
N5584,NGC 5584,215.5992125,-0.3874499999999999,51344,10.331,0.00625,0.00084,0.00635,1e-05,0.00552,1e-05,31.5763,250.0,12.8137,0.32481,2007af,46.38789811558817,98.0,92.50169177008421,101.65324401855467,50.826622009277344,92.50169177008421,-5.498308229915793
N5643,NGC 5643,218.16990833333332,-44.174611111111105,51969,10.449,0.00331,0.00085,0.00478,0.00015,0.00411,0.00015,440.866,250.0,11.1483,0.577815,2017cbv,161.55395757688157,107.0,99.7946772856074,137.12644958496094,68.56322479248047,99.7946772856074,-7.205322714392594
N5728,NGC 5728,220.59954937774,-17.25312243994,52521,10.636,0.00996,0.00086,0.0105,0.00015,0.00974,0.00015,161.695,250.0,13.4928,0.359283,2009Y,22.839020246793933,176.0,166.738644821125,92.7088623046875,46.35443115234375,166.738644821125,-9.261355178874993
N5861,NGC 5861,227.31704695833332,-11.321661111111112,54097,10.591,0.00677,0.00085,0.00727,0.00015,0.00662,0.00015,147.138,250.0,12.9518,0.3469,2017erp,48.52831499170101,112.0,106.20418271445523,90.59855651855467,45.299278259277344,106.20418271445523,-5.795817285544771
N5917,NGC 5917,230.3856254335,-7.377089110400001,54809,9.184,0.0071,0.00084,0.00703,6e-05,0.00644,6e-05,-21.2471,250.0,13.0691,0.321523,2005cf,130.12865238403774,54.0,52.64017958361095,45.406829833984375,22.703414916992188,52.64017958361095,-1.3598204163890486
N7250,NGC 7250,334.5740666666667,40.56240555555555,68535,9.131,0.00432,0.00084,0.00293,0.00012,0.00394,0.00012,-413.1,250.0,12.246,0.513549,2013dy,24.99083467580744,52.0,50.4111892361293,52.13402557373047,26.06701278686523,50.4111892361293,-1.588810763870697
N7329,NGC 7329,340.10094603963,-66.47895444826,69453,10.501,0.01028,0.00086,0.01042,0.00015,0.01077,0.00015,40.4087,250.0,14.0258,0.246478,2006bh,53.54862058969878,124.0,116.39793698312904,116.71355438232422,58.35677719116211,116.39793698312904,-7.602063016870957
N7541,NGC 7541,348.68273750000003,4.5339,70795,10.935,0.00814,0.00084,0.00769,2e-05,0.00893,2e-05,-134.006,250.0,13.4634,0.315879,1998dh,54.28672324231253,64.4,61.802987112436774,67.16163635253906,33.58081817626953,61.802987112436774,-2.5970128875632312
N7678,NGC 7678,352.11609521324993,22.421269142620005,71534,10.53,0.01061,0.00084,0.01049,1e-05,0.01169,1e-05,-34.4658,250.0,14.1276,0.307827,2002dp,45.51396021257647,107.0,102.49610850692297,70.32686614990234,35.16343307495117,102.49610850692297,-4.503891493077035
N976A,NGC 976,38.50015860403,20.976747665440005,9776,10.854,0.01312,0.00085,0.01334,0.0,0.01413,0.0,64.7561,250.0,14.2187,0.260204,1999dq,7.695661697895833,218.0,212.70617385012537,44.37324523925781,22.186622619628903,212.70617385012537,-5.293826149874633
SMC,SMC,13.158333333333331,-72.80027777777778,3085,,,,,,,,,,,,,,22.0,17.31993589458842,9486.8330078125,4743.41650390625,17.31993589458842,-4.6800641054115815
U9391,UGC 9391,218.65422,59.337826,52091,9.345,0.00747,0.00084,0.00664,2e-05,0.00638,2e-05,-244.618,250.0,13.5155,0.291161,2003du,15.61952370749146,75.0,72.84250306090047,49.78761291503906,24.89380645751953,72.84250306090047,-2.1574969390995307
