galaxy,sigma_kms,error_kms,source,method,notes,pgc,direct_sigma_spread_kms
NGC 4258,123.0,2.0,BASS DR2 (Koss+2022; J/ApJS/261/6),stellar absorption,"{""bassdr2"": {""details"": {""SimbadName"": ""NGC4258"", ""catalog"": ""J/ApJS/261/6/best"", ""e_sigma"": 2.0, ""e_sigmaCaT"": 2.0, ""e_sigmaS"": 9.0, ""sep_arcsec"": 0.008379520123374727, ""sigma"": 123.0, ""sigmaCaT"": 123.0, ""sigmaS"": 102.0}, ""error_kms"": 2.0, ""method"": ""stellar absorption"", ""source"": ""BASS DR2 (Koss+2022; J/ApJS/261/6)"", ""value_kms"": 123.0}, ""ho2007"": {""details"": {""T"": 4.0, ""Vm"": 201.6999969482422, ""W50"": 417.79998779296875, ""bar"": ""Y"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 4258"", ""sep_arcsec"": 1.2148104616886242, ""sig0"": 134.39999389648438}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 134.39999389648438}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""NGC 4258""}, ""error_kms"": 7.4, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 132.8}}",,
NGC 4424,56.6,9.2,HyperLEDA (ledacat.cgi),stellar absorption,"{""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""NGC 4424""}, ""error_kms"": 9.2, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 56.6}}",,
NGC 4536,180.8000030517578,,Ho 2007 (J/ApJ/668/94),stellar absorption,"{""ho2007"": {""details"": {""T"": 4.199999809265137, ""Vm"": 153.60000610351562, ""W50"": 322.79998779296875, ""bar"": ""Y"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 4536"", ""sep_arcsec"": 1.4682386224106245, ""sig0"": 180.8000030517578}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 180.8000030517578}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""NGC 4536""}, ""error_kms"": 9.6, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 111.4}}",,
NGC 4639,87.0,,Ho 2007 (J/ApJ/668/94),stellar absorption,"{""ho2007"": {""details"": {""T"": 3.5, ""Vm"": 164.0, ""W50"": 281.79998779296875, ""bar"": ""Y"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 4639"", ""sep_arcsec"": 0.5911966235405277, ""sig0"": 87.0}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 87.0}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""NGC 4639""}, ""error_kms"": 4.0, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 90.6}}",,
NGC 4680,55.588235294117645,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""NGC 4680"", ""vrot"": 94.5}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 55.588235294117645}}",,
NGC 5468,88.76470588235294,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""NGC 5468"", ""vrot"": 150.9}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 88.76470588235294}}",,
NGC 5584,54.18593,9.634534,SDSS (astroquery.sdss),stellar absorption,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""NGC 5584"", ""vrot"": 124.7}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 73.3529411764706}, ""sdss"": {""details"": {""query_radius_arcsec"": 5.0, ""separation_arcsec"": 0.8955527241501403, ""z"": 12.20652}, ""error_kms"": 9.634534, ""method"": ""stellar absorption"", ""source"": ""SDSS (astroquery.sdss)"", ""value_kms"": 54.18593}}",,
NGC 5643,68.0,1.0,BASS DR2 (Koss+2022; J/ApJS/261/6),stellar absorption,"{""bassdr2"": {""details"": {""SimbadName"": ""NGC5643"", ""catalog"": ""J/ApJS/261/6/best"", ""e_sigma"": 1.0, ""e_sigmaCaT"": 1.0, ""e_sigmaS"": 1.0, ""sep_arcsec"": 0.00587524769061989, ""sigma"": 68.0, ""sigmaCaT"": 68.0, ""sigmaS"": 69.0}, ""error_kms"": 1.0, ""method"": ""stellar absorption"", ""source"": ""BASS DR2 (Koss+2022; J/ApJS/261/6)"", ""value_kms"": 68.0}, ""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""NGC 5643"", ""vrot"": 171.2}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 100.70588235294117}}",,
NGC 5728,176.0,4.0,BASS DR2 (Koss+2022; J/ApJS/261/6),stellar absorption,"{""bassdr2"": {""details"": {""SimbadName"": ""NGC5728"", ""catalog"": ""J/ApJS/261/6/best"", ""e_sigma"": 4.0, ""e_sigmaCaT"": 4.0, ""e_sigmaS"": 9.0, ""sep_arcsec"": 0.009040554731941564, ""sigma"": 176.0, ""sigmaCaT"": 176.0, ""sigmaS"": 176.0}, ""error_kms"": 4.0, ""method"": ""stellar absorption"", ""source"": ""BASS DR2 (Koss+2022; J/ApJS/261/6)"", ""value_kms"": 176.0}, ""ho2007"": {""details"": {""T"": 1.2000000476837158, ""Vm"": 202.0, ""W50"": 389.0, ""bar"": ""Y"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 5728"", ""sep_arcsec"": 0.24821679715251538, ""sig0"": 210.0}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 210.0}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""NGC 5728""}, ""error_kms"": 14.1, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 197.2}}",,
NGC 5861,93.23529411764706,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""NGC 5861"", ""vrot"": 158.5}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 93.23529411764706}}",,
NGC 5917,54.470588235294116,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""NGC 5917"", ""vrot"": 92.6}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 54.470588235294116}}",,
NGC 7250,41.8235294117647,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""NGC 7250"", ""vrot"": 71.1}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 41.8235294117647}}",,
NGC 7329,147.58823529411765,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""NGC 7329"", ""vrot"": 250.9}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 147.58823529411765}}",,
NGC 7541,64.4,34.6,HyperLEDA (ledacat.cgi),stellar absorption,"{""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""NGC 7541""}, ""error_kms"": 34.6, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 64.4}}",,
NGC 7678,76.86814,3.770555,SDSS (astroquery.sdss),stellar absorption,"{""ho2007"": {""details"": {""T"": 4.900000095367432, ""Vm"": 168.0, ""W50"": null, ""bar"": ""Y"", ""catalog"": ""J/ApJ/668/94/sample"", ""name"": ""NGC 7678"", ""sep_arcsec"": 1.7691097044612893, ""sig0"": 107.30000305175781}, ""error_kms"": null, ""method"": ""stellar absorption"", ""source"": ""Ho 2007 (J/ApJ/668/94)"", ""value_kms"": 107.30000305175781}, ""leda_vdis"": {""details"": {""e_field"": ""e_vdis"", ""field"": ""vdis"", ""leda_obj"": ""NGC 7678""}, ""error_kms"": 43.0, ""method"": ""stellar absorption"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 102.3}, ""sdss"": {""details"": {""query_radius_arcsec"": 5.0, ""separation_arcsec"": 0.0407499412092767, ""z"": 11.72624}, ""error_kms"": 3.770555, ""method"": ""stellar absorption"", ""source"": ""SDSS (astroquery.sdss)"", ""value_kms"": 76.86814}}",,25.43186
NGC 976,217.6444785764,18.1067775043,MNRAS 482:1427 (VizieR J/MNRAS/482/1427),stellar absorption,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""NGC 976"", ""vrot"": 405.0}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 238.23529411764707}, ""mnras482_1427"": {""details"": {""Name"": ""NGC0976"", ""SimbadName"": ""NGC0976"", ""Vdisp30"": 93.4793228935, ""Vdisp30Hd"": 217.6444785764, ""Vdisp5"": 134.5151034146, ""catalog"": ""J/MNRAS/482/1427/table1"", ""chosen"": ""Vdisp30Hd"", ""e_Vdisp30"": 15.2120536404, ""e_Vdisp30Hd"": 18.1067775043, ""e_Vdisp5"": 13.6025863507, ""sep_arcsec"": 0.009625649102166307}, ""error_kms"": 18.1067775043, ""method"": ""stellar absorption"", ""source"": ""MNRAS 482:1427 (VizieR J/MNRAS/482/1427)"", ""value_kms"": 217.6444785764}}",,
SMC,25.52941176470588,,HyperLEDA (ledacat.cgi),vrot/1.7 proxy,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""SMC"", ""vrot"": 43.4}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 25.52941176470588}}",,
UGC 9391,74.52721,27.37043,SDSS (astroquery.sdss),stellar absorption,"{""leda_vrot_proxy"": {""details"": {""field"": ""vrot"", ""leda_obj"": ""UGC 9391"", ""vrot"": 75.7}, ""error_kms"": null, ""method"": ""vrot/1.7 proxy"", ""source"": ""HyperLEDA (ledacat.cgi)"", ""value_kms"": 44.529411764705884}, ""sdss"": {""details"": {""query_radius_arcsec"": 5.0, ""separation_arcsec"": 1.6939049318335226, ""z"": 14.54161}, ""error_kms"": 27.37043, ""method"": ""stellar absorption"", ""source"": ""SDSS (astroquery.sdss)"", ""value_kms"": 74.52721}}",,
